iter	Passed	Remaining
831	1077	217
832	1078	216
833	1079	214
834	1080	213
835	1081	212
836	1082	210
837	1083	209
838	1084	208
839	1085	206
840	1087	205
841	1088	204
842	1089	202
843	1090	201
844	1091	200
845	1092	198
846	1093	197
847	1094	196
848	1095	194
849	1096	193
850	1098	192
851	1099	190
852	1100	189
853	1101	188
854	1102	187
855	1104	185
856	1105	184
857	1106	183
858	1108	181
859	1109	180
860	1110	179
861	1111	177
862	1112	176
863	1113	175
864	1114	173
865	1115	172
866	1116	171
867	1117	169
868	1118	168
869	1119	167
870	1121	166
871	1122	164
872	1123	163
873	1124	162
874	1125	160
875	1127	159
876	1128	158
877	1129	156
878	1130	155
879	1131	154
880	1132	152
881	1133	151
882	1134	150
883	1135	149
884	1136	147
885	1137	146
886	1138	145
887	1139	143
888	1140	142
889	1141	141
890	1143	139
891	1144	138
892	1145	137
893	1146	135
894	1147	134
895	1148	133
896	1149	131
897	1150	130
898	1151	129
899	1152	128
900	1153	126
901	1154	125
902	1155	124
903	1156	122
904	1157	121
905	1158	120
906	1159	118
907	1160	117
908	1161	116
909	1162	115
910	1163	113
911	1164	112
912	1166	111
913	1166	109
914	1167	108
915	1168	107
916	1170	105
917	1171	104
918	1172	103
919	1173	102
920	1174	100
921	1175	99
922	1176	98
923	1177	96
924	1178	95
925	1179	94
926	1180	92
927	1181	91
928	1182	90
929	1183	89
930	1184	87
931	1185	86
932	1187	85
933	1188	83
934	1189	82
935	1190	81
936	1191	80
937	1192	78
938	1193	77
939	1194	76
940	1195	74
941	1197	73
942	1198	72
943	1199	71
944	1200	69
945	1201	68
946	1202	67
947	1202	65
948	1203	64
949	1205	63
950	1206	62
951	1207	60
952	1208	59
953	1209	58
954	1210	57
955	1211	55
956	1212	54
957	1213	53
958	1214	51
959	1215	50
960	1216	49
961	1217	48
962	1218	46
963	1220	45
964	1221	44
965	1222	43
966	1223	41
967	1224	40
968	1225	39
969	1226	37
970	1227	36
971	1229	35
972	1231	34
973	1232	32
974	1233	31
975	1234	30
976	1235	29
977	1236	27
978	1237	26
979	1238	25
980	1239	24
981	1240	22
982	1241	21
983	1242	20
984	1243	18
985	1244	17
986	1245	16
987	1246	15
988	1247	13
989	1248	12
990	1249	11
991	1251	10
992	1252	8
993	1253	7
994	1254	6
995	1255	5
996	1256	3
997	1257	2
998	1258	1
999	1259	0
